id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,sales,carryover,created_at,updated_at
930,2015-06-22,978,"03,11,19,30,38,42,31",1,400000000.0,8,20054800.0,292,659300.0,15030,11200.0,245252,1000.0,2102925600.0,338273733,2016-04-30 23:08:02.000000,2016-04-30 23:08:02.000000
931,2015-06-18,977,"10,15,17,27,42,43,33",0,0.0,6,25241100.0,234,776600.0,12198,13100.0,214139,1000.0,1946470400.0,560007047,2016-04-30 23:08:02.000000,2016-04-30 23:08:02.000000
932,2015-06-15,976,"06,13,22,28,42,43,29",0,0.0,8,16874200.0,285,568300.0,13533,10500.0,216001,1000.0,1790844200.0,391731490,2016-04-30 23:08:03.000000,2016-04-30 23:08:03.000000
933,2015-06-11,975,"03,11,13,27,29,36,15",0,0.0,9,12306900.0,313,424600.0,14571,8000.0,220424,1000.0,1565375600.0,241737086,2016-04-30 23:08:03.000000,2016-04-30 23:08:03.000000
934,2015-06-08,974,"02,03,29,30,32,43,26",0,0.0,5,21359800.0,189,678000.0,8868,12700.0,149283,1000.0,1368801800.0,118666833,2016-04-30 23:08:03.000000,2016-04-30 23:08:03.000000
935,2015-06-04,973,"01,05,06,12,30,31,24",2,49737200.0,13,6886600.0,494,217400.0,17816,5300.0,227173,1000.0,1374163600.0,0,2016-04-30 23:08:03.000000,2016-04-30 23:08:03.000000
936,2015-06-01,972,"02,07,17,18,21,40,29",1,117796500.0,13,8155000.0,184,691400.0,10071,11100.0,167141,1000.0,1400880800.0,0,2016-04-30 23:08:03.000000,2016-04-30 23:08:03.000000
1030,2016-05-26,1074,"08,09,16,27,30,33,19",2,115607900.0,13,8513100.0,295,450100.0,13570,8600.0,212559,1000.0,1547014000.0,0,2016-05-26 10:55:03.000000,2016-05-26 10:55:03.000000
1038,2016-06-23,1082,"09,12,19,21,39,40,16",2,121707300.0,5,23495000.0,309,456200.0,13159,9400.0,202405,1000.0,1590521000.0,0,2016-06-23 10:55:03.000000,2016-06-23 10:55:03.000000
1092,2016-09-08,1104,"15,25,32,33,36,38,40",1,240488900.0,8,14831000.0,147,968500.0,9710,12900.0,166967,1000.0,1523161000.0,0,2016-09-08 10:55:02.000000,2016-09-08 10:55:02.000000
1098,2016-09-29,1110,"01,06,21,34,36,39,29",1,119660300.0,3,35897700.0,138,936400.0,7404,15300.0,139014,1000.0,1354664600.0,0,2016-09-29 10:55:02.000000,2016-09-29 10:55:02.000000
1110,2016-11-10,1122,"22,24,29,31,32,34,40",0,0.0,1,135292500.0,182,892000.0,8596,16600.0,159494,1000.0,1668174000.0,399629190,2016-11-10 10:55:03.000000,2016-11-10 10:55:03.000000
1128,2017-01-19,1141,"01,04,10,14,24,26,29",3,37793100.0,4,25510100.0,334,366600.0,14334,7500.0,203639,1000.0,1443386200.0,0,2017-01-19 10:55:02.000000,2017-01-19 10:55:02.000000
1159,2017-05-08,1172,"03,10,31,32,38,39,15",0,0.0,6,12203400.0,187,422800.0,8950,9300.0,156242,1000.0,1413684200.0,244061225,2017-05-08 10:55:03.000000,2017-05-08 10:55:03.000000
1190,2017-08-24,1203,"02,04,06,37,39,42,41",0,0.0,3,26755000.0,218,397600.0,11542,7900.0,193197,1000.0,1598409200.0,519058296,2017-08-24 10:55:02.000000,2017-08-24 10:55:02.000000
937,2015-07-30,989,"05,07,31,33,36,39,21",1,246688200.0,6,19836500.0,170,840100.0,9865,12700.0,177905,1000.0,1551070600.0,0,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
938,2015-07-27,988,"05,06,10,22,34,41,19",0,0.0,7,14713900.0,225,549300.0,11100,9800.0,179699,1000.0,1399480800.0,114443128,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
939,2015-07-23,987,"03,14,15,24,25,36,33",4,27898400.0,32,3138500.0,354,340400.0,14334,7400.0,188227,1000.0,1393529800.0,0,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
940,2015-07-20,986,"04,11,17,30,36,43,05",2,56736900.0,4,25531400.0,228,537500.0,10314,10400.0,156759,1000.0,1340033400.0,0,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
941,2015-07-16,985,"03,11,19,26,29,38,31",4,60289500.0,6,18820800.0,370,366200.0,15579,7600.0,226551,1000.0,1599992600.0,0,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
942,2015-07-13,984,"14,23,24,28,37,38,20",0,0.0,5,20823000.0,288,433800.0,13647,8000.0,200372,1000.0,1456271400.0,115684719,2016-04-30 23:08:15.000000,2016-04-30 23:08:15.000000
943,2015-07-09,983,"15,19,32,35,36,38,31",1,271689400.0,6,21520500.0,181,856000.0,9903,13800.0,171870,1000.0,1635769000.0,0,2016-04-30 23:08:16.000000,2016-04-30 23:08:16.000000
944,2015-07-06,982,"15,19,21,22,29,40,42",0,0.0,3,38465000.0,170,814500.0,9155,13300.0,163901,1000.0,1484757000.0,128218058,2016-04-30 23:08:16.000000,2016-04-30 23:08:16.000000
945,2015-07-02,981,"14,19,22,23,31,37,21",1,120197200.0,5,21635300.0,333,389800.0,14279,8000.0,199325,1000.0,1493381400.0,0,2016-04-30 23:08:16.000000,2016-04-30 23:08:16.000000
1031,2016-05-30,1075,"07,08,21,24,34,42,01",0,0.0,5,20547500.0,181,681100.0,9771,11100.0,168233,1000.0,1371476800.0,114154317,2016-05-30 10:55:02.000000,2016-05-30 10:55:02.000000
1039,2016-06-27,1083,"10,13,15,18,25,38,20",3,38342600.0,2,51762100.0,280,443600.0,12477,8700.0,191647,1000.0,1431143200.0,0,2016-06-27 10:55:03.000000,2016-06-27 10:55:03.000000
1093,2016-09-12,1105,"12,15,25,31,39,40,26",3,39244000.0,4,26489500.0,176,722400.0,10118,11000.0,165330,1000.0,1396293800.0,0,2016-09-12 10:55:02.000000,2016-09-12 10:55:02.000000
1099,2016-10-03,1111,"06,16,17,27,33,41,42",2,56059200.0,5,20181100.0,249,486200.0,10910,9700.0,173574,1000.0,1365553600.0,0,2016-10-03 10:55:02.000000,2016-10-03 10:55:02.000000
1111,2016-11-14,1123,"04,08,23,29,34,35,15",3,184681300.0,15,9264800.0,246,677900.0,14227,10300.0,231821,1000.0,1864632400.0,0,2016-11-14 10:55:02.000000,2016-11-14 10:55:02.000000
1129,2017-01-23,1142,"12,13,19,23,28,35,31",1,112869100.0,7,14511600.0,250,487500.0,12927,8300.0,196772,1000.0,1423665400.0,0,2017-01-23 10:55:02.000000,2017-01-23 10:55:02.000000
1160,2017-05-15,1174,"07,08,09,25,29,31,28",0,0.0,10,6684500.0,268,269300.0,12582,6000.0,195563,1000.0,1408207600.0,222811225,2017-05-15 10:55:03.000000,2017-05-15 10:55:03.000000
1161,2017-05-11,1173,"05,07,11,16,33,38,25",2,245503400.0,17,4358000.0,379,211100.0,16837,5000.0,246227,1000.0,1626255000.0,0,2017-05-15 10:55:03.000000,2017-05-15 10:55:03.000000
1191,2017-08-28,1204,"10,20,21,24,39,43,17",1,600000000.0,11,9295200.0,239,462000.0,13330,8700.0,222051,1000.0,1982718800.0,259874500,2017-08-28 10:55:03.000000,2017-08-28 10:55:03.000000
946,2015-08-31,998,"01,03,12,19,26,29,28",2,120240500.0,6,19795000.0,355,401400.0,16312,7700.0,239891,1000.0,1686394600.0,0,2016-04-30 23:08:24.000000,2016-04-30 23:08:24.000000
